,Error,Cost,Q_pos_x_0,Q_pos_x_1,Q_pos_y_0,Q_pos_y_1,Q_pos_z_0,Q_pos_z_1,Q_att_x_0,Q_att_x_1,Q_att_y_0,Q_att_y_1,Q_att_z_0,Q_att_z_1,Q_vel_0,Q_vel_1,Q_omega_0,Q_omega_1,Q_horizon_0,Q_horizon_1
0,35512.1238701728,1261110941.7705,1000,1000,1000,1000,1500,1500,100,100,100,100,500,500,100,100,100,100,6,6
0,30304.6098377471,918369377.418078,1006.614,1005.798,1007.677,1000.617,1499.94,1498.845,96.358,107.943,96.962,96.543,500.44,497.542,106.676,99.384,101.623,98.258,5.262,6.661
0,31866.8554080402,1015496473.59694,1009.078,1005.279,1011.408,997.975,1497.935,1498.952,95.615,112.327,103.307,99.818,501.846,498.492,101.688,96.046,90.785,97.466,5.19,6.253
0,30956.1630949534,958284033.561353,1016.219,1004.481,1006.206,985.488,1492.34,1498.911,93.347,107.982,105.149,108.543,494.185,497.702,110.994,100.224,92.838,95.314,5.066,5.793
0,34865.8838285107,1215629855.14321,1022.224,1000.776,1013.682,980.204,1496.319,1487.721,91.391,110.232,107.109,112.643,492.658,495.282,112.272,103.957,91.642,84.953,5.598,6.092
0,37320.1919617201,1392796728.05963,1016.721,998.223,1014.408,981.154,1497.151,1483.389,80.878,109.467,116.68,109.922,488.555,502.105,113.759,100.209,94.844,84.323,5.409,5.824
0,30011.1201557658,900667333.003813,1018.345,1001.349,1007.288,986.776,1493.717,1480.447,84.019,107.691,123.17,114.775,484.541,507.3,116.679,108.874,89.769,84.227,5.247,5.353
0,32657.2984559415,1066499142.44044,1018.863,1001.001,1006.235,990.765,1493.216,1480.105,87.021,110.688,128.735,114.302,478.12,498.796,112.764,107.064,90.407,80.699,4.817,6.36
0,33896.2283753461,1148954298.07362,1018.691,1002.381,1004.378,986.14,1499.193,1463.642,82.605,110.42,136.232,120.145,484.846,489.66,107.024,106.778,87.928,77.055,4.153,5.732
0,37089.0065659161,1375594408.04657,1015.904,1003.353,1001.849,985.171,1499.661,1461.618,82.697,116.798,138.621,120.113,480.02,494.247,116.015,107.054,88.151,64.779,4.099,5.934
0,24561.1346904314,603249337.281512,1022.175,1002.971,1001.106,989.777,1491.601,1456.513,81.942,121.608,137.486,125.209,474.825,495.927,118.63,106.237,84.889,64.748,4.792,5.496
0,36905.4522820005,1362012408.13902,1027.664,1005.202,989.138,994.66,1484.412,1459.612,86.08,125.64,138.96,113.525,477.562,496.7,121.541,104.886,92.395,63.129,4.845,6.303
0,33120.0840327963,1096939966.33949,1034.247,1007.272,991.74,994.745,1488.419,1465.019,91.23,131.62,144.872,121.366,484.92,502.65,116.336,104.739,92.384,61.462,4.207,6.34
