error,t
0.31330064859073636,1614306499.1673388
0.31638383981134965,1614306499.1979394
0.29154864098228006,1614306499.1979394
0.313908610965862,1614306499.2388403
0.2824847295102093,1614306499.25941
0.31008268527357585,1614306499.2801697
0.34493480882104643,1614306499.3007543
0.2271718001277636,1614306499.3007543
0.268651183109466,1614306499.3209445
0.17275096817632085,1614306499.3415105
0.1802555229079741,1614306499.362061
0.25799929821450385,1614306499.403089
0.33067688742411017,1614306499.4236393
0.17914351088659974,1614306499.4236393
0.3405865462524442,1614306499.4647114
0.25161022706894665,1614306499.4848504
0.25161022706894665,1614306499.4848504
0.25057690220840434,1614306499.526124
0.36156750125757364,1614306499.5464592
0.24770874326874814,1614306499.5671759
0.3087764640614119,1614306499.5772977
0.3087764640614119,1614306499.5772977
0.26671957866810847,1614306499.5980124
0.2409498786177302,1614306499.618585
0.3425158023837265,1614306499.639272
0.31445554472297643,1614306499.6804
0.31445554472297643,1614306499.6804
0.2848848728632145,1614306499.7218785
0.39037350248870606,1614306499.7426293
0.39037350248870606,1614306499.7426293
0.3222460869131052,1614306499.7835283
0.3843789216677236,1614306499.8040612
0.44212207280713756,1614306499.8040612
0.4129843546613947,1614306499.8451033
0.3745466507547768,1614306499.865509
0.37615244043782603,1614306499.886366
0.4382222950785397,1614306499.886366
0.42105506485831135,1614306499.896486
0.4639315901464658,1614306499.9271526
0.43863818022820134,1614306499.9477158
0.4673157150698881,1614306499.978546
0.45349785217128247,1614306499.9992757
0.45349785217128247,1614306499.9992757
0.5218355402010155,1614306500.0406666
0.5250109926077775,1614306500.060798
0.685336829967344,1614306500.060798
0.5646018890518205,1614306500.1018586
0.5646018890518205,1614306500.1018586
0.6177478117271455,1614306500.1426923
0.5942475687084344,1614306500.1426923
0.6126910999623645,1614306500.16308
0.6321667443541993,1614306500.2040422
0.687850330638902,1614306500.2242765
0.6423187407072545,1614306500.2448826
0.7095167513085878,1614306500.2655938
0.6417436306177408,1614306500.2862453
0.7189038285666467,1614306500.306718
0.7189038285666467,1614306500.306718
0.6743632625131915,1614306500.3474572
0.7201027779988176,1614306500.3578396
0.9956797900178429,1614306500.3578396
0.8097462951196768,1614306500.398693
0.6280637586001518,1614306500.4190958
0.6430081445531274,1614306500.4395595
0.6999066195182568,1614306500.4603434
0.8187227005897229,1614306500.4811654
0.7187962975393517,1614306500.5016823
0.6914446690705184,1614306500.5224867
0.9083038300063246,1614306500.543108
0.9150336703674037,1614306500.5639286
0.7867172086125349,1614306500.584351
0.7977476685801418,1614306500.6047852
0.718060394695531,1614306500.6252306
0.8872200060388267,1614306500.6457908
0.9088539519910477,1614306500.6457908
0.7324772496869582,1614306500.6866915
0.8930168392066304,1614306500.6968107
0.906868183637844,1614306500.727667
0.8536370355198675,1614306500.737955
0.7951220442901079,1614306500.7585535
0.8170113431819823,1614306500.7790244
0.7816448085726222,1614306500.7997952
0.8343498920097505,1614306500.8206482
0.785262677638315,1614306500.8413293
0.8515252255015167,1614306500.8617673
0.7830114869728141,1614306500.8826106
0.92913869704834,1614306500.902762
0.8661841869065331,1614306500.9233205
0.7770430394003796,1614306500.943921
0.9564784703670774,1614306500.9644077
0.9521739560494793,1614306500.984804
0.8705551790516951,1614306501.0054862
0.7914527823930405,1614306501.026034
0.8617531457609025,1614306501.0466914
0.790187877260706,1614306501.0674336
0.8821127386680925,1614306501.077886
0.8193310342215685,1614306501.098691
0.8394616395087413,1614306501.119429
0.7882483484792107,1614306501.1400776
0.8205398843949592,1614306501.1608186
0.7782708451857192,1614306501.180991
0.7407063812172634,1614306501.2016556
0.7813120208276925,1614306501.222211
0.7813120208276925,1614306501.222211
1.1814589942121578,1614306501.2630992
1.5838034588350933,1614306501.2630992
0.8897882826782839,1614306501.3038354
1.3518511655688867,1614306501.324508
1.0249637166828192,1614306501.3451397
0.7082139144419684,1614306501.3658724
1.1553243542118508,1614306501.386654
0.8503816562624524,1614306501.4072802
1.571848914360754,1614306501.4072802
1.4222176201765322,1614306501.4177327
1.3614726228441167,1614306501.459145
1.0836504590311264,1614306501.4795194
1.4606123739459416,1614306501.499959
1.1988367321265923,1614306501.5206192
1.1988367321265923,1614306501.5206192
1.5956102844981381,1614306501.5610693
1.5956102844981381,1614306501.5610693
1.9352471802310023,1614306501.6023765
2.189195949818788,1614306501.6023765
1.748559325984173,1614306501.6435132
1.748559325984173,1614306501.6435132
1.8119132493784154,1614306501.6848335
1.8119132493784154,1614306501.6848335
1.8628502983370756,1614306501.726034
1.681575815682167,1614306501.7466898
1.9888828863396069,1614306501.756794
1.7353949757556506,1614306501.7875288
1.9293216506371156,1614306501.8081193
1.8518311822511384,1614306501.8182406
1.702234589662172,1614306501.8386922
1.9486141188746917,1614306501.8590698
1.8139162664246555,1614306501.8796432
2.0716707831904175,1614306501.9002225
2.0634323270367205,1614306501.920983
1.9530547299577288,1614306501.9415927
1.851324787080827,1614306501.9623663
1.9466753027898185,1614306501.9827795
1.9466753027898185,1614306501.9827795
1.9329792931295748,1614306502.0237641
1.8673209258071752,1614306502.0442383
1.9161962935168537,1614306502.0648506
1.8702106080380738,1614306502.085332
1.8944352748946844,1614306502.105733
1.8689353477973887,1614306502.126494
1.8600894249089595,1614306502.136609
1.8640018260586886,1614306502.1671877
1.8075398338386524,1614306502.1671877
1.8211615794791907,1614306502.1984823
1.8440795745249683,1614306502.2192316
1.8095109399299396,1614306502.2400744
1.8550464607546275,1614306502.2608793
1.7738244269462329,1614306502.2810981
1.8423529738319502,1614306502.3017251
1.7402219394722613,1614306502.3224921
1.8322277386791543,1614306502.3428557
1.7043408508739737,1614306502.3634255
1.8202396493152948,1614306502.3841856
1.3728242342395958,1614306502.3841856
1.640452644175563,1614306502.4250436
1.792171273713245,1614306502.445616
1.3391438771444832,1614306502.445616
1.3528788463990713,1614306502.4661644
1.5490392051364652,1614306502.5067668
1.7476024436583075,1614306502.5274873
1.497576143532306,1614306502.547725
1.6067488247606783,1614306502.5580966
1.455860361006633,1614306502.5786836
1.6934243259838135,1614306502.5988584
1.3984547820775326,1614306502.6194196
1.6571079813503675,1614306502.6401727
1.9258794386739424,1614306502.660717
1.288509525905747,1614306502.6809025
1.576605392302099,1614306502.701633
1.4863972457625594,1614306502.701633
1.3658349394633649,1614306502.7427382
1.2503927532885073,1614306502.7634804
1.4534862664314403,1614306502.7843044
1.2993801610243187,1614306502.8050678
1.3700539960513844,1614306502.8257942
1.3444739550643752,1614306502.8463805
1.2822266825045896,1614306502.867085
1.4050400542720438,1614306502.8771925
1.3593494546612765,1614306502.8978033
1.4046883935063528,1614306502.9217257
1.3816215233427886,1614306502.94236
1.430154238512733,1614306502.962824
1.4302797878065363,1614306502.9831893
1.4432223514971527,1614306503.0037172
1.4665708754963072,1614306503.0244534
1.5015488210310044,1614306503.0449526
1.452778229344766,1614306503.0651412
1.510893695678634,1614306503.0858538
1.363429565736827,1614306503.1063957
1.3452842687354822,1614306503.1271136
1.4375889033033717,1614306503.147839
1.4881575518382517,1614306503.1582098
1.3113647435061673,1614306503.1582098
1.5431163877668919,1614306503.1993356
1.3990697735487185,1614306503.2201056
1.5435658892028932,1614306503.2405899
1.3625960882651185,1614306503.260785
1.5296803231974956,1614306503.2812936
1.325428115691265,1614306503.301481
1.325428115691265,1614306503.301481
1.515460941605102,1614306503.3216946
1.2588397543189482,1614306503.362692
1.4831400104468049,1614306503.383255
1.116982387314994,1614306503.4036934
1.1544916355382733,1614306503.4244087
1.132609678217046,1614306503.4449883
1.0932165015238149,1614306503.4655533
1.3696293899619931,1614306503.485937
1.6535872581451652,1614306503.5066936
1.1830441611629965,1614306503.516799
1.2502472708636962,1614306503.5473309
1.62004605748227,1614306503.5473309
1.421801214068559,1614306503.5781696
1.22110336404896,1614306503.5987272
1.22110336404896,1614306503.5987272
1.4741833589227513,1614306503.6191008
1.1124518335574767,1614306503.660527
1.3478556421114567,1614306503.681161
1.180244260747903,1614306503.7019067
1.3878414604389722,1614306503.7226944
1.2287744491116996,1614306503.743435
1.4253185639919392,1614306503.764174
1.269484105145771,1614306503.784539
1.5002722981852736,1614306503.8047066
1.3405182533742162,1614306503.825132
1.5602793472252663,1614306503.8454955
1.4261421524666258,1614306503.8658814
1.6080025385486754,1614306503.8866377
1.6080025385486754,1614306503.8866377
1.5940001671672155,1614306503.9273782
1.5940001671672155,1614306503.9273782
1.4722095872513998,1614306503.958181
1.6860742023099202,1614306503.9787135
1.632133645041891,1614306503.9993777
1.7392688724947025,1614306504.020204
1.7528213973636455,1614306504.0407534
1.7528213973636455,1614306504.0407534
1.7101115011453363,1614306504.061142
1.706587743099649,1614306504.102374
1.7207675780716813,1614306504.122882
1.6996101598534872,1614306504.143457
1.7236512975342704,1614306504.1639333
1.73281858924428,1614306504.1845527
1.7148181497145016,1614306504.2049725
1.7619258638792383,1614306504.2254925
1.6970834537869972,1614306504.246164
1.7817424630787408,1614306504.266651
1.7078306490457258,1614306504.2873728
1.7639012435778587,1614306504.308222
1.827422114987088,1614306504.318349
1.7750868995583962,1614306504.3385203
1.8735605594199756,1614306504.3385203
1.8501222054967563,1614306504.3586338
1.7917483735395845,1614306504.399251
1.7772029983514361,1614306504.4196386
1.7754424054270543,1614306504.4402013
1.7754424054270543,1614306504.4402013
1.7537898587077003,1614306504.4815779
1.7811336944161795,1614306504.5023305
1.7247640353453049,1614306504.522852
1.7742210932759723,1614306504.543506
1.6887168193008555,1614306504.564323
1.7602439929655214,1614306504.5849507
1.647140176177473,1614306504.6053264
1.741150461404539,1614306504.6260548
1.5990634248077824,1614306504.646479
1.5990634248077824,1614306504.646479
1.8441253351824878,1614306504.6876934
1.4469482447146127,1614306504.6978068
1.5917986849023067,1614306504.7186563
1.2739015554848012,1614306504.7388349
1.0643317201414206,1614306504.7388349
1.4084352442139112,1614306504.779898
1.596456937368226,1614306504.800825
1.32533225716098,1614306504.8213377
1.32533225716098,1614306504.8213377
1.2384525572465133,1614306504.862551
1.4679851752324529,1614306504.8833003
1.1464225983400107,1614306504.903517
1.3945475138366166,1614306504.9240766
1.0470024794552115,1614306504.9448755
1.0470024794552115,1614306504.9448755
0.9341056596815158,1614306504.9858248
0.9341056596815158,1614306504.9858248
1.3603644207732435,1614306505.0168357
0.9360310977268504,1614306505.0477102
1.0857228144304778,1614306505.0580502
0.47546687257317,1614306505.0580502
0.2705006309760932,1614306505.09921
0.5347578274558528,1614306505.1200075
0.46596364581640504,1614306505.1408417
0.7780289966657239,1614306505.1615703
1.0897466779181295,1614306505.181987
0.34573842629009677,1614306505.2024815
0.5732876738384013,1614306505.2226498
0.5353992728927854,1614306505.243221
0.8054244189958503,1614306505.243221
0.3789216121080655,1614306505.2840366
0.3847541913566549,1614306505.3044894
0.5191767130461215,1614306505.3248525
0.6632622232692852,1614306505.3450696
0.47308426297170936,1614306505.3652844
0.5607108622286479,1614306505.3859751
0.7868610190776815,1614306505.4065168
1.0307322998220996,1614306505.4065168
0.7154655411608304,1614306505.4373283
0.5107501381785078,1614306505.457959
0.8645832083457075,1614306505.457959
0.6647787387812,1614306505.4785373
0.7346784701894339,1614306505.5194502
0.6412480367796575,1614306505.5398622
0.8104909312897924,1614306505.5604796
0.6602495459591367,1614306505.580924
0.885867595487613,1614306505.6016777
0.729068126527513,1614306505.6224098
0.9354637170844999,1614306505.6431603
1.0074458206068728,1614306505.6640203
0.8747416703151436,1614306505.6848407
1.2417832350062827,1614306505.7055342
1.267643105504187,1614306505.7259161
1.1627668575737986,1614306505.7466662
1.1627668575737986,1614306505.7466662
1.1758532082565205,1614306505.7873921
1.1019578013255353,1614306505.8080294
1.3295426745754395,1614306505.818146
1.2724219423720111,1614306505.8386915
1.346037442989665,1614306505.8591046
1.3112865741561597,1614306505.8796184
1.2874825240936294,1614306505.9000187
1.4190627438499452,1614306505.920897
1.417465477084724,1614306505.9415743
1.4545017421521718,1614306505.962362
1.4557135521291513,1614306505.9830837
1.4870748929106605,1614306506.0036294
1.5286263247499587,1614306506.0243165
1.504598077584514,1614306506.0448182
1.565356013965446,1614306506.065519
1.5140507056566324,1614306506.0860739
1.5928376728226685,1614306506.1065938
1.5115279993151998,1614306506.1272743
1.558067377917074,1614306506.1373947
1.6568315246756515,1614306506.1578395
1.3930579788610147,1614306506.1578395
1.4991133437961341,1614306506.1784675
1.4590108523565255,1614306506.1991496
1.3225599889367603,1614306506.239919
1.4546677762611393,1614306506.2608325
1.2975012433048256,1614306506.2608325
1.578273287258355,1614306506.3017097
1.578273287258355,1614306506.3017097
1.376204248434507,1614306506.342716
1.533945531621982,1614306506.3632681
1.509366466673199,1614306506.3632681
1.506342026710004,1614306506.3838222
1.3800992386585795,1614306506.4042802
1.3869851293373243,1614306506.4246259
1.4352534010448932,1614306506.46587
1.4352534010448932,1614306506.46587
1.3347491820029544,1614306506.507353
1.3511036707687862,1614306506.5281885
1.4071827365178495,1614306506.538684
1.445008674247482,1614306506.538684
1.4035972168798436,1614306506.5592074
1.3742609001200954,1614306506.5798953
1.3908659539252113,1614306506.620801
1.3908659539252113,1614306506.620801
1.3849908596453575,1614306506.6411686
1.4344535988652618,1614306506.6821434
1.4088874691864186,1614306506.702684
1.4635206452299427,1614306506.722849
1.4131120543409823,1614306506.7434123
1.4921744054718937,1614306506.7641983
1.4088959794162108,1614306506.785088
1.4088959794162108,1614306506.785088
1.3968107233544909,1614306506.8261774
1.5232184740148633,1614306506.8469224
1.380358319518777,1614306506.8676744
1.380358319518777,1614306506.8676744
1.4539333826788914,1614306506.8777683
1.1792593528891033,1614306506.8985522
1.5261364107265663,1614306506.9389658
1.1027543166888112,1614306506.9590836
0.8707200610461516,1614306506.9590836
1.285642402432662,1614306506.9998994
1.285642402432662,1614306506.9998994
1.2358786914305497,1614306507.0412881
1.4777132771362815,1614306507.0620196
0.9190374577421072,1614306507.0620196
1.4267663846939485,1614306507.1034482
0.8247526655594686,1614306507.1034482
1.089434928867195,1614306507.1242745
0.7223102852637053,1614306507.1448853
0.9982272767240044,1614306507.1651106
0.9026908318727425,1614306507.2063704
1.1875004671816534,1614306507.2268949
1.4732421308982737,1614306507.2475803
0.7999418267742228,1614306507.2577002
0.879540895796469,1614306507.2785678
0.8385644593526698,1614306507.2785678
0.836906083438627,1614306507.2987568
0.8481552261207592,1614306507.319326
0.8684701708969853,1614306507.3400118
0.8551777013510876,1614306507.3607733
0.9396674122168128,1614306507.4018753
0.8556310183565707,1614306507.4018753
0.9744976809527593,1614306507.4425976
0.8497301157555878,1614306507.4425976
0.9215174175673346,1614306507.4627686
0.8478623813642521,1614306507.4833424
1.0205538410790926,1614306507.5241137
0.8537701181331295,1614306507.5241137
0.9269074369735213,1614306507.5446978
0.938773014549062,1614306507.5858755
0.938773014549062,1614306507.5858755
1.0488272807319694,1614306507.6067135
0.8088676978119972,1614306507.6272736
0.947506962076309,1614306507.6476548
0.609952485699379,1614306507.6577795
0.7524514901616265,1614306507.6983705
0.9431313100338381,1614306507.7187176
0.9359616588481973,1614306507.7392807
1.1556692853213617,1614306507.7598581
1.1556692853213617,1614306507.7598581
0.8990040408072675,1614306507.8008575
1.161424135316097,1614306507.821602
0.598549073943029,1614306507.8421698
0.5780462658920686,1614306507.8626852
0.5780462658920686,1614306507.8626852
0.5550879225281478,1614306507.8833444
1.118514399309388,1614306507.9268486
1.4613732577680896,1614306507.947063
0.691208521757257,1614306507.9674394
0.8353707413273865,1614306507.9778805
0.6278563261211109,1614306507.9985242
0.7392437439729453,1614306507.9985242
0.6054813953001854,1614306508.03964
0.5807595203477909,1614306508.0600078
0.8662673143185156,1614306508.0808928
1.2857395352040568,1614306508.1014037
0.5722611447849003,1614306508.1217988
0.5722611447849003,1614306508.1217988
0.634153392070917,1614306508.1627872
0.886712647742085,1614306508.1627872
0.5908894704538241,1614306508.2038932
0.6589742986568874,1614306508.224674
0.5906695853870816,1614306508.2451081
0.5906695853870816,1614306508.2451081
0.5806836388355059,1614306508.2864015
0.5806836388355059,1614306508.2864015
0.7696013509157513,1614306508.3170447
0.5705798260614068,1614306508.3478804
0.5677154045899029,1614306508.3582582
0.8000441760103243,1614306508.3787463
0.5696500087743159,1614306508.399409
1.3468149477708804,1614306508.419815
1.7256911056032629,1614306508.419815
1.1021430846218956,1614306508.4605606
0.8032990144426608,1614306508.4811485
1.2289068079029737,1614306508.5017986
1.2289068079029737,1614306508.5017986
1.349921888667448,1614306508.5434334
1.0828706436890048,1614306508.564178
1.4553281439074979,1614306508.5849123
1.2049841649066502,1614306508.6053157
1.5438925299626702,1614306508.6260264
1.4258944185072624,1614306508.6361337
1.4860466550368874,1614306508.667006
1.267723693339781,1614306508.6876276
1.267723693339781,1614306508.6876276
1.6841677359460085,1614306508.7186012
1.6841677359460085,1614306508.7186012
1.9208024367440166,1614306508.759201
1.927048002682047,1614306508.7799037
1.7527530343973392,1614306508.8005803
1.7626944152239452,1614306508.8211403
1.6061846278187681,1614306508.841883
1.4589027010007092,1614306508.8624773
1.7820219999583198,1614306508.8831642
1.7820219999583198,1614306508.8831642
1.8936959027565259,1614306508.9239166
1.8839285111638795,1614306508.944639
1.7868297015673413,1614306508.965129
1.7860615547587857,1614306508.985535
1.7103100050129263,1614306509.0062778
1.6765733312122384,1614306509.0163877
1.840236958126144,1614306509.0163877
1.7139935754546878,1614306509.0675557
1.8141507918840158,1614306509.0675557
1.7812269959342604,1614306509.0986142
1.7682894761277659,1614306509.119359
1.7671164497968745,1614306509.1401842
1.7474897468482382,1614306509.1401842
1.7808443952752702,1614306509.1808515
1.7476870946262688,1614306509.2013881
1.7945245498747742,1614306509.2219417
1.6718068161649229,1614306509.2219417
1.8018231742991249,1614306509.262692
1.7143636387419428,1614306509.2831297
1.7143636387419428,1614306509.2831297
1.6922393395480428,1614306509.3240407
1.8120065920463662,1614306509.3448956
1.6625770053856535,1614306509.3656116
1.806951598181854,1614306509.3864846
1.6264250701165737,1614306509.407222
1.795024032506308,1614306509.4280324
1.883757215523711,1614306509.438345
1.5702285998451564,1614306509.458988
1.7680795558496607,1614306509.4792266
1.2781490638966002,1614306509.499475
1.2737251246374552,1614306509.5202203
1.2737251246374552,1614306509.5202203
1.2955412238637753,1614306509.540797
1.6920615061027928,1614306509.5817735
1.9562879384799141,1614306509.6023827
1.3554142279678802,1614306509.6023827
1.3382142508259736,1614306509.6230738
1.4082924006529765,1614306509.6640315
1.426252321344374,1614306509.6848557
1.2975734516670359,1614306509.705501
1.2975734516670359,1614306509.705501
1.3422580894408325,1614306509.7467096
1.3422580894408325,1614306509.7467096
1.3317389674818034,1614306509.787635
1.367107619490205,1614306509.798035
1.4111951607539752,1614306509.8185
1.3517393039564243,1614306509.8391838
1.6418484736427046,1614306509.8595946
1.4939589716832902,1614306509.8595946
1.457354859001965,1614306509.8801646
1.4887530371916886,1614306509.9216683
1.484078071581569,1614306509.9424348
1.4931105663546462,1614306509.9627004
1.5138069160932566,1614306509.983442
1.5008996111803765,1614306510.0041816
1.5460788693547214,1614306510.0249403
1.5011469731949176,1614306510.0453312
1.5697264689399597,1614306510.0660415
1.4970844523349967,1614306510.0865848
1.5884152850767725,1614306510.1071286
1.4828352796850297,1614306510.127791
1.4828352796850297,1614306510.127791
1.5390186838570572,1614306510.1378975
1.3261208167767908,1614306510.1583765
1.60333800936078,1614306510.1992457
1.2445988094012597,1614306510.2200468
1.209913419595422,1614306510.2409756
1.209913419595422,1614306510.2409756
1.576890047367703,1614306510.2823563
1.3374338601773208,1614306510.303029
1.550073576474329,1614306510.323583
1.282548728871507,1614306510.3442261
1.5173907210597233,1614306510.3646126
1.2225207922201906,1614306510.3850524
1.478257859036177,1614306510.4054945
1.1516768536643527,1614306510.4259055
1.4269792117723021,1614306510.4466898
1.5675854801739857,1614306510.4567971
1.1898740871014732,1614306510.4875488
1.335757663433438,1614306510.4978273
1.486971574562919,1614306510.4978273
1.5206500699214607,1614306510.5179932
1.3010059779940029,1614306510.5385592
