t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,-5.0,4.5,1.2,1.0,7.916185524935008e-29,6.846219643047071e-30,2.8431399838194485e-30,0.0,0.0,0.0,-8.323582517339164e-29,-4.1249299504195706e-29,-5.858547715283452e-31,0.07707114430802507,-0.3321728893179733,3.8199749101131766,138.41772339300653,32.07562053359845,6.247288212481431,3.1269335437368357,2.5591729854535967,2.771584655615598,3.126937414674468,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0325103,-4.999979715352146,4.499912178923946,1.202022084416012,0.9992938906702241,0.03657195891857529,0.00844516832589648,0.00165060157898629,0.002505604742583906,-0.010799034765937032,0.12418846686741725,4.499999413594688,1.0427875134317626,0.2031011102017867,0.4986591503379861,-2.14544403935455,4.725562592764808,2.192193808055052,-1.7100982029379752,-0.45719362698986715,3.1290345513606543,3.1290359178196026,3.1134927299191637,3.1290359467778712,0.9998280036384604,0.0001719963615396075,0.06598296653353716,0.9999514721338932,4.8527866106774995e-05,0.0647165461608871,0.9999639078307044,3.609216929559488e-05,0.04531013804521269,0.9999658115517311,3.4188448268786964e-05,0.044997611958397514,0.9999677152615263,3.2284738473649606e-05,0.04499656017734077,0.9999696198420385,3.0380157961506313e-05,0.04499678563401066,0.9999715263514235,2.84736485764678e-05,0.04490257961506826,0.9999734356182288,2.6564381771135604e-05,0.04498576123753134,0.9999753490869665,2.46509130335367e-05,0.045000158204247194,0.9999772718229482,2.2728177051787263e-05,0.04500239688989086,0.9999792148740756,2.078512592444223e-05,0.04499450005162744,0.9999811698000252,1.8830199974790065e-05,0.044993760607305484,0.9999831404592355,1.6859540764480973e-05,0.04499400532871988,0.9999851323524324,1.4867647567655335e-05,0.04490114292066409,0.9999871524450975,1.2847554902489939e-05,0.04498398639029077,0.9999892125425196,1.078745748041167e-05,0.04499649044175283,0.9999913344370728,8.66556292725572e-06,0.044997453009920634,0.9999935560667095,6.443933290605196e-06,0.04499239075698366,0.9999959518286459,4.048171354082471e-06,0.0449917479254533,0.999998794338607,1.2056613928977866e-06,0.04499197073127183
0.0650206,-4.999678151640952,4.498615610115666,1.2085860873852277,0.9936000592444063,0.11007106309752791,0.024903583264610164,0.004787954395547983,0.018717155034690052,-0.08054802848102571,0.2778178459316089,4.57126825553861,0.9871917362308855,0.18823761582460943,0.9784871561125394,-4.269500768395639,4.233612655881608,2.192178918536124,-1.7305461527298023,-0.4537087444100185,3.1311337861890585,3.1311346303989636,3.1157091478587007,3.1311344009587367,0.9996558602820711,0.00017214335638923424,0.06599379028106275,0.9999029441775834,4.852795630986967e-05,0.06470715657595051,0.9999279100115661,3.599781913828171e-05,0.04525051690297159,0.999931616483327,3.419506840429197e-05,0.044997607857540096,0.9999353228075686,3.239245395777236e-05,0.04499658590122385,0.9999390315781879,3.0588263850564775e-05,0.04499683840249731,0.999942745761717,2.8780589706371302e-05,0.0449026594200441,0.9999464677285004,2.6967889728505828e-05,0.04498580313917276,0.9999502011105559,2.5147976410704363e-05,0.04500037044368817,0.999953960229169,2.3311593779093817e-05,0.045002827778393796,0.9999577766840924,2.1438189983252424e-05,0.04499461530610671,0.9999616242761483,1.9545523876883985e-05,0.04499387891366656,0.9999655127082394,1.762775099607772e-05,0.04499412986955326,0.9999694556454325,1.5676706999839122e-05,0.04490127393076059,0.9999734699645284,1.3682480569131563e-05,0.044984070637618015,0.9999775839294482,1.1628613071347772e-05,0.044996634442120764,0.9999818509976252,9.483439447605289e-06,0.04499759920811569,0.999986362142195,7.19392451435533e-06,0.04499247699474595,0.9999912886179888,4.663210657074152e-06,0.04499181526858918,0.9999972626093508,1.5317292561637403e-06,0.04499200347987685
0.0975309,-4.998593326686425,4.493925269085957,1.219914338844651,0.9820538757832876,0.18407993335682069,0.04034714980061879,0.007529693598876929,0.050528049772602134,-0.21935070839197968,0.41545379313442815,4.642536613420051,0.930931190387548,0.17348741596768114,1.4272180739174851,-6.327985862349653,3.4166586015143916,0.6967248992689231,-0.2509946980568789,-0.1583956996040623,3.1332326145327447,3.133233276946521,3.127847985778018,3.1332327771507793,0.9994833609243191,0.00017249935775197936,0.06604338857704956,0.9998544147605513,4.8529417032164785e-05,0.06470325659532736,0.9998919688121152,3.5941199450984056e-05,0.0452197803289384,0.9998974051032458,3.421138008116554e-05,0.044997596633777795,0.9999028408771347,3.2481930433911106e-05,0.04499659967363963,0.9999082812930516,3.075028513628266e-05,0.04499687470081174,0.9999137321376069,2.9013624110181658e-05,0.04490285495030665,0.9999191983291666,2.726939933371325e-05,0.04498580886506635,0.9999246858147276,2.551529582819404e-05,0.04500053285937733,0.9999302222498847,2.3737979284389138e-05,0.045003162158093725,0.9999358663450861,2.1910339006121893e-05,0.04499469142460692,0.9999415660896338,2.0058186514474143e-05,0.04499395896043557,0.9999473384838102,1.817422442912425e-05,0.04499421624749879,0.9999532073572558,1.6248288176695205e-05,0.04490150389729732,0.9999592018790613,1.4268085467121712e-05,0.04498410455683548,0.9999653693399102,1.2214589538013064e-05,0.04499673854232706,0.9999718021899752,1.0048807649942242e-05,0.044997704176372534,0.9999786535636113,7.708578583711513e-06,0.044992529232693236,0.9999862048395727,5.083778416175588e-06,0.04499185605127461,0.9999955045304502,1.7580789007120238e-06,0.04499202261045663
0.130041,-4.9962344926985445,4.483625449285258,1.235314533286524,0.9645902058932928,0.25774788883323985,0.05506848459949478,0.009952138930818106,0.0969273138138493,-0.4250753220598248,0.5265303325138124,4.665187337339597,0.9227712816245319,0.1683379268859223,1.8493079014221805,-8.248045276167002,2.274250931655129,-0.11095803783102094,0.5490983335341804,3.4936451771314266e-05,3.1353286148611152,3.135331919535725,3.1353311093463714,3.135326616832401,0.99931021268451,0.0001731482398089935,0.06614058352321656,0.999805881463524,4.8533297027255294e-05,0.0647022648351478,0.9998560566861665,3.5912125948711934e-05,0.045198926060544285,0.9998631611110398,3.424399220597445e-05,0.04499757548666193,0.9998702643223605,3.2576554774089956e-05,0.04499660248373053,0.9998773749092524,3.090638379926569e-05,0.0449969019040054,0.9998845026349501,2.9229502656771127e-05,0.04490325458561632,0.9998916565458326,2.7541783334070385e-05,0.044985779859428976,0.9998988444462092,2.5841368518305978e-05,0.04500068083258379,0.9999061120250536,2.411022483099311e-05,0.045003463026234425,0.9999135481956697,2.2318149416505907e-05,0.044994745342444985,0.9999210687333102,2.0497356323532916e-05,0.044994017565701414,0.9999286991881597,1.863929565048713e-05,0.044994284129442244,0.9999364755058778,1.673185137800824e-05,0.04490193055447363,0.9999444418545811,1.476002448032263e-05,0.04498409773210773,0.9999526659371182,1.2703402792079423e-05,0.04499682768381026,0.999961286013802,1.0516176173258955e-05,0.04499779203864256,0.999970522924571,8.130639040357577e-06,0.04499256083126401,0.9999807781828411,5.426656731505547e-06,0.0449918793163294,0.9999935620657271,1.9424647230379522e-06,0.04499203184563875
0.162551,-4.99214202254486,4.46560773838711,1.2537490801422448,0.9413267859375686,0.33002418789002447,0.06954592817843705,0.012292312796000003,0.1570488377629731,-0.6932216113949752,0.6004668748000752,4.6615800600854005,0.9406226240562662,0.16833906267987,2.059810580118581,-9.107052165199017,0.3551228122369949,-122.93976549275573,-20.24775237025852,4.049682012211154,2.796793814091577,3.137430543945945,3.137429894353071,2.659103976083524,0.9991360445351689,0.00017416814934107227,0.06629600256855353,0.9997573409622557,4.854050126831828e-05,0.06470388927236644,0.9998201447307221,3.591195544443878e-05,0.045183167185047717,0.9998288624590784,3.429865196146116e-05,0.04499754166739243,0.9998375779849249,3.2686337435569116e-05,0.04499659197218716,0.9998463040640327,3.107084521970924e-05,0.044996920819728545,0.9998550558548249,2.9446780125168145e-05,0.04490393789621432,0.9998638487326851,2.7807813147483534e-05,0.044985711122597125,0.9998726913996749,2.6153046534364742e-05,0.04500082543931459,0.9998816531668279,2.4458858225833003e-05,0.045003747103318614,0.9998908522593585,2.2695936311160524e-05,0.044994779638416,0.9999001679859462,2.0900747364011447e-05,0.04499405680579121,0.999909635498051,1.9063690108735047e-05,0.04499433762028077,0.9999193049094147,1.7170596463121556e-05,0.04490263590772812,0.9999292386717047,1.5203182876404739e-05,0.04498404740451993,0.9999395253621834,1.3140574934737639e-05,0.044996909065029636,0.9999503559280095,1.0930085792518062e-05,0.044997869214510884,0.9999620213133836,8.501611187455803e-06,0.044992573569843514,0.9999750518749425,5.72630789868766e-06,0.0449918851981743,0.9999914591632361,2.1029024910289466e-06,0.04499203094150217
0.195062,-4.985969036406031,4.438335595356286,1.2735301991066645,0.9253710990856837,0.3705857775227667,0.07806020142193648,0.016147338195672763,0.22401386345070282,-0.9892944581258324,0.61201201806387,0.6647734441139894,0.28236245650479413,0.2999953725330046,2.3368203882550005,-9.97745534565865,0.4983071139731311,-31.34189133873473,0.03224522787674745,4.078267576841904e-05,3.035255306917219,3.1395291609535785,3.139528625041791,3.0352533843944554,0.9989604346957144,0.0001756098394545848,0.06651610150985783,0.999708789242396,4.855171985965072e-05,0.06470819303080572,0.9997842014971368,3.594323358537787e-05,0.04517057030228391,0.9997944828314715,3.437962760685999e-05,0.04499749342907977,0.9998047607427756,3.281724214937215e-05,0.04499656578996361,0.9998150528056553,3.1251258377358025e-05,0.04499693121520165,0.9998253811634918,2.9674691333087088e-05,0.04490495853154413,0.9998357702654496,2.8078467235515487e-05,0.04498559887193695,0.9998462283267979,2.6463072877005175e-05,0.04500097227619736,0.9998568549541558,2.479821267207124e-05,0.045004021158076474,0.9998677926956012,2.305956375720046e-05,0.044994794660609246,0.9998788823979098,2.128558803638797e-05,0.044994076240068806,0.9998901697293112,1.946576873980552e-05,0.04499437783621518,0.9999017211171997,1.758379221503648e-05,0.044903674569923335,0.9999136212151347,1.5617456569997483e-05,0.044983950686764064,0.9999259791400132,1.3546222170199994e-05,0.04499698587067625,0.9999390457379026,1.13101901068782e-05,0.04499793823826188,0.9999531814486217,8.839864761862908e-06,0.044992567461915225,0.9999690538011948,5.998073747668172e-06,0.04499187249671521,0.9999892116036818,2.247559554257582e-06,0.044992019153912925
0.227572,-4.9774628274244455,4.400904230995328,1.293696239884996,0.923974200513365,0.37321982417309746,0.08053851872240657,0.022176738555464544,0.29998455650253575,-1.3136643589162942,0.6282121235539914,-0.3541603252618231,0.28341075800101656,0.2999966983893512,2.5132800631330707,-10.074735019982983,0.7225397341627711,-0.07914112528630016,-0.07484494316018939,1.5440096516648685e-05,3.1415617683725743,3.141627774725958,3.1416273652455162,3.141560833928851,0.998782919649408,0.0001775150463064298,0.06680548686567336,0.9996602218118188,4.8567430577130006e-05,0.06471527973423408,0.9997481936481224,3.600784901440474e-05,0.045160150864685694,0.9997599930963553,3.4489735116209416e-05,0.04499742948111431,0.999771787715271,3.297302750464676e-05,0.0449965222795892,0.99978360060691,3.145219874539538e-05,0.044996932799660994,0.9997954625131495,2.991865034217773e-05,0.04490634138504194,0.9998074101593208,2.8360106128691596e-05,0.04498543963370986,0.9998194495078826,2.677881891528916e-05,0.045001124938126254,0.999831718421946,2.5136532209794238e-05,0.045004288634865615,0.9998443746670972,2.3418028504109034e-05,0.04499479017389989,0.999857220852394,2.166154551578074e-05,0.044994075177724316,0.9998703140463043,1.9855683006881337e-05,0.04499440516168127,0.999883739146417,1.79819707826883e-05,0.04490507191135346,0.999897607566359,1.6013648775608646e-05,0.04498380455111398,0.999912047909809,1.3931230204106362e-05,0.04499705983978006,0.9999273786323579,1.1667105544768916e-05,0.04499800034901502,0.999944026095449,9.155353172742173e-06,0.044992542096831976,0.9999628035072675,6.250293927247401e-06,0.044991840142193186,0.999986830700179,2.380903502846626e-06,0.04499199588455165
0.260082,-4.966394050107194,4.352860364328083,1.314492626426616,0.92561686470473,0.3681577564071484,0.0828255342331177,0.028858935384004275,0.381692003591421,-1.6411968494870492,0.6517020950715811,-0.356733225672621,0.28097752768863016,0.29999720035126454,2.649308455185411,-9.94123723350623,0.8294724855077367,-0.07807536858495479,-0.07529625962235163,5.545590816391643e-06,3.143662054892789,3.1437263851007504,3.1437260922015424,3.143661573443493,0.9986029872719057,0.00017993237750234923,0.06716905197963575,0.9996116337305515,4.858808126735936e-05,0.06472530353510017,0.9997120865180255,3.6107130096830585e-05,0.04515133320704459,0.9997253620867775,3.4631009577820295e-05,0.044997348524782425,0.9997386314449221,3.31562703487998e-05,0.04499646036497203,0.9997519238887742,3.167671813570461e-05,0.044996925327276324,0.9997652803085091,3.0182204640558964e-05,0.0449080899227133,0.9997787532053932,2.865695392759961e-05,0.04498522893281054,0.9997923443534898,2.7105154392789584e-05,0.04500128613937292,0.99980623915948,2.5479262465977457e-05,0.04500455159229242,0.9998205974877338,2.377717936339055e-05,0.04499476552064283,0.9998351860972847,2.203475510922827e-05,0.044994053039371075,0.9998500742782613,2.0239768043026344e-05,0.044994419721278496,0.9998653675265436,1.8371619873282804e-05,0.044906831658668774,0.9998812091532534,1.639841310568581e-05,0.044983604788344754,0.9998977456579823,1.4302251826780669e-05,0.04499713204092222,0.9999153713180426,1.200731431524005e-05,0.044998056221134654,0.9999345719135873,9.45418186167943e-06,0.0449924967221043,0.9999563154266035,6.488080664093484e-06,0.04499178732726284,0.9999843250248807,2.5056752983297554e-06,0.04499196067393155
0.292593,-4.952596768293347,4.294238536945002,1.3361091983280007,0.9272056647748265,0.3630295695143753,0.085068146338867,0.035527713790795334,0.46782177225490523,-1.964389289187614,0.6786684806389826,-0.3592714780310342,0.27852962495016065,0.29999738063999354,2.7821113443824226,-9.803787439045495,0.9362769083446377,-0.0894474757910846,-0.07581240759227685,1.4924237228804973e-07,3.145720943163875,3.1458249913160783,3.145824792428376,3.145720739201932,0.9984200901532502,0.00018289711865554669,0.06760865116726424,0.9995630197101821,4.8614020369358156e-05,0.06473839690863663,0.9996758451210472,3.624139697827222e-05,0.045143743022464884,0.9996905577635499,3.4804323227590974e-05,0.044997249840053,0.9997052630954508,3.336834947132481e-05,0.04499637954308924,0.9997199972057755,3.192668299877386e-05,0.044996908785274785,0.999734812589146,3.046771936308748e-05,0.04491018553376619,0.9997497813088142,2.8971896578933076e-05,0.04498496352481278,0.9997648988738814,2.744547960842978e-05,0.04500145814881366,0.9997804092392251,2.5829920255039424e-05,0.04500481133648095,0.9997964566653542,2.414082237956778e-05,0.04499472035740257,0.9998127768641375,2.2409233147183117e-05,0.044994009591902674,0.9998294520849085,2.062219335275943e-05,0.04499442172255774,0.9998466104894098,1.8757037133853006e-05,0.044908935364613975,0.9998644330252046,1.6776128048870657e-05,0.04498334829124853,0.9998830819804274,1.4663677554879271e-05,0.04499720319387755,0.9999030362723413,1.2335045701331313e-05,0.04499810630364233,0.9999248315348198,9.74037876753791e-06,0.04499243092676512,0.9999496006051422,6.7148214613061155e-06,0.04499171366982134,0.9999817013334303,2.6236914503478943e-06,0.04499191335440812
