t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,-5.0,4.5,1.2,1.0,-4.290477301123898e-26,-5.9599703083433364e-27,7.853304245674686e-28,0.0,0.0,0.0,-3.5117392916300603e-29,-1.4905596625675903e-26,-1.9841262814904925e-27,0.05816447999800435,-0.22424858240879125,3.3564650920073444,198.03505931977418,51.319753778893514,10.015589697263719,3.1269329184262227,2.296345027151718,2.636879236028899,3.1269370775964376,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0227232,-4.999992512910294,4.499971041669256,1.2008673380401662,0.9996504711083561,0.02556464790912667,0.006608489721547868,0.001292831332734445,0.0013216855745911936,-0.005095654882539877,0.07626976969238301,4.499998644795539,1.1661512019614493,0.2275866718717647,0.3915973527583761,-1.5134648347591906,4.913010999045194,3.3166800032968724,-2.7930061847252086,-0.684658664700083,3.151623459495271,3.1516250020736902,3.1283487250413198,3.151625577062703,0.9998281025834391,0.00017189741656076574,0.06018107963981036,0.9999514824257694,4.8517574230606726e-05,0.05706055854303672,0.9999638836137215,3.6116386278456884e-05,0.045329460512830835,0.9999658039499095,3.4196050090521075e-05,0.04499698232703075,0.9999677243022482,3.2275697751710257e-05,0.04499592908751115,0.9999696454233501,3.0354576649865568e-05,0.044996779037891316,0.9999715682776351,2.8431722364895618e-05,0.044902572950978756,0.9999734936032034,2.6506396796614924e-05,0.04498575499855271,0.9999754227191933,2.457728080670349e-05,0.045000127493041296,0.9999773601401254,2.2639859874611372e-05,0.04500233464249122,0.9999793156569556,2.0684343044355984e-05,0.044994005480434904,0.9999812818734037,1.8718126596307963e-05,0.04499323675324352,0.9999832623304082,1.673766959166832e-05,0.044993985689261815,0.9999852621662083,1.4737833791624829e-05,0.04490112726665004,0.9999872878472487,1.2712152751248167e-05,0.044983972312055295,0.999989350354807,1.0649645193090037e-05,0.044996467448141494,0.9999914698729807,8.530127019355918e-06,0.04499742957097916,0.9999936817525582,6.318247441714101e-06,0.04499194228494768,0.9999960560661236,3.943933876336125e-06,0.04499126438207888,0.9999988499560912,1.1500439088009334e-06,0.044991965015840234
0.0454465,-4.999878026801486,4.499529699089741,1.2038759961451198,0.9968304229374411,0.07704079509530745,0.019483084044773943,0.0037671708696826864,0.010220047121133046,-0.039486483096269266,0.18790930924416263,4.575364368275625,1.1026850455680293,0.2120290071134102,0.774815480229297,-3.052650301176454,4.775588933200117,3.3166700008647108,-2.8103054090053385,-0.6804391642645539,3.1763129847945377,3.1763142321932225,3.153180307724665,3.176313991910975,0.9996561441147169,0.00017195846872220612,0.06017254444778231,0.9999029648368666,4.8517588902864424e-05,0.0570466787975661,0.9999278509885359,3.603262518572046e-05,0.0452704408912995,0.9999316027509461,3.420119896347939e-05,0.04499698124773883,0.9999353545314296,3.236977081870909e-05,0.04499595140840442,0.9999391084413366,3.053698201343846e-05,0.04499682615497122,0.9999428670848232,2.8701192811822493e-05,0.04490261719343369,0.9999466324516312,2.6861151572183745e-05,0.04498579889725272,0.9999504079142179,2.5014804975329193e-05,0.04500031269034068,0.9999542058804669,2.3154259658403264e-05,0.04500270859035799,0.9999580540810332,2.1261575922438522e-05,0.04499410545966187,0.999961930057437,1.9351815966645794e-05,0.044993339085343365,0.9999658426032312,1.741972717710452e-05,0.04499409643438679,0.9999698043612174,1.5457804990943317e-05,0.044901217457711855,0.9999738308205521,1.3457026696642415e-05,0.04498405439587698,0.999977948224319,1.1402130488014994e-05,0.04499659502212466,0.9999822055690275,9.264303953224833e-06,0.044997559371278306,0.9999866872588342,6.994493723978483e-06,0.044992020884332844,0.9999915543134698,4.501752653893756e-06,0.04499132592874026,0.9999974003367612,1.4496193298913639e-06,0.044991995774623234
0.0681697,-4.99946164377163,4.497909906921323,1.209393419067853,0.9911036788921124,0.12914812247705787,0.03159786158243729,0.005982707748893921,0.02782636704738608,-0.10885259567003959,0.29642617389084225,4.65072986446802,1.038825794708993,0.19656722308600713,1.1405270264717655,-4.60365251335303,4.460058839943789,3.316652494658339,-2.8302252296721973,-0.6764945184427562,3.201002091749157,3.201003102001708,3.178002562813898,3.201002366188401,0.9994840391933515,0.00017210492136537743,0.060184528545688634,0.9998544466168195,4.851822004702999e-05,0.05704002712434472,0.9998918729649805,3.597802355541989e-05,0.04524005389697193,0.9998973930545509,3.4209696395179875e-05,0.04499697714693192,0.9999029131282617,3.244140316792144e-05,0.044995965774366216,0.9999084372333433,3.067120799330144e-05,0.04499685919933023,0.99991397019834,2.8896886483168074e-05,0.044902694890914974,0.9999195158160388,2.7116635592499167e-05,0.044985819934171056,0.9999250798770738,2.5328037144144086e-05,0.04500044942976004,0.9999306856496808,2.3520230786145418e-05,0.045002990792227346,0.9999363853378115,2.1668743221717134e-05,0.04499417341104168,0.9999421344872835,1.9795570153587814e-05,0.04499340960325321,0.9999479483350968,1.7894268134264932e-05,0.04499417344126038,0.9999538486489857,1.595571223165403e-05,0.04490132596987554,0.9999598617012451,1.3969119307059208e-05,0.044984100659938686,0.9999660315437333,1.1916680585578585e-05,0.044996685207129794,0.9999724420263807,9.763542646821559e-06,0.044997651215921065,0.9999792353865943,7.45187223986428e-06,0.04499207146137421,0.9999866758863667,4.8784271031561915e-06,0.04499136585410363,0.9999957444742634,1.655862497817799e-06,0.0449920157516579
0.090893,-4.9985497768553255,4.494313051426663,1.217302885549016,0.9823807571095372,0.18172274486689174,0.04292620092745219,0.007886061444842444,0.05374283906554632,-0.2134625073814132,0.39777317176280624,4.726094962862645,0.9745139009375686,0.18119507420155936,1.4830269548347528,-6.146744104684128,3.961014034377888,3.3165107756210714,-2.8526803970349115,-0.672801050380751,3.2256910266630876,3.225691877177989,3.2028164607062526,3.2256908459042966,0.9993116705388787,0.00017236865447283433,0.060215796105442976,0.999805926665859,4.851995096057919e-05,0.05703616696927146,0.9998559334711856,3.5939493794738635e-05,0.04521938893002096,0.9998631687464489,3.422430810204046e-05,0.04499696901290109,0.9998704039089527,3.2509219309085896e-05,0.04499597487947421,0.9998776455445751,3.079168876811965e-05,0.04499688596499895,0.9998849013264671,2.906887187292704e-05,0.04490284027373718,0.9998921776032772,2.7338212761619596e-05,0.04498582394789833,0.9998994826508449,2.559722622888541e-05,0.04500056965353995,0.9999068536679322,2.3831981748634895e-05,0.045003240621579906,0.9999143725199495,2.201281786193391e-05,0.04499422625269262,0.9999219663429052,2.0168144378379312e-05,0.04499346549251156,0.9999296578357347,1.8290499362120423e-05,0.04499423614213103,0.9999374793019141,1.6369347071651087e-05,0.04490149593032963,0.9999454694796887,1.4392221556374555e-05,0.044984124615837916,0.9999536919645635,1.2339579169769621e-05,0.04499676111188464,0.999962270722687,1.0171303693756657e-05,0.044997727966025414,0.9999714122297069,7.823156887424274e-06,0.044992108072678644,0.9999814929814514,5.182904915152412e-06,0.044991394600419156,0.999993921427523,1.8230467404674456e-06,0.044992029690424144
0.113616,-4.99695934573052,4.487939450974457,1.227394222410519,0.9705786948406526,0.23458887506876924,0.05344332761139065,0.00942461042289821,0.08744201995742827,-0.35313646327585624,0.4877802535792369,4.801456840941243,0.9096917529563697,0.16590685288696064,1.8041830097294953,-7.670118617134097,3.3000868701003125,-0.10619569340162871,0.5567142380572628,-0.00010998525205759029,3.250379410976475,3.2503806640353994,3.2503762676904806,3.2503787541301263,0.9991388898716788,0.00017278066719983936,0.06026924998256184,0.9997574034720625,4.8523193796409526e-05,0.05703411409342849,0.9998200186228205,3.591484836513791e-05,0.04520367511033939,0.9998289215323883,3.424721406051657e-05,0.044996955701834936,0.9998378241611967,3.2579747755850316e-05,0.044995978444862694,0.9998467362487978,3.0909295777292014e-05,0.0449969081667455,0.9998556690175576,2.9232308909511303e-05,0.044903084478690666,0.9998646324186127,2.7545184664481614e-05,0.04498581039683166,0.9998736369773767,2.5845673468222962e-05,0.045000682753734846,0.9998827372261239,2.4116441808240302e-05,0.04500347445691363,0.9998920481669493,2.2324353000128204e-05,0.04499426782898894,0.9999014628979209,2.0503444984199255e-05,0.04499351054930254,0.9999110125044163,1.864533131849646e-05,0.04499428948101889,0.9999207411856922,1.6738116221893977e-05,0.044901760917044564,0.9999307020105435,1.476746914523564e-05,0.044984127895832324,0.9999409792467746,1.2712717788894047e-05,0.04499682937899726,0.9999517420031245,1.052871956251441e-05,0.04499779601143991,0.9999632655180344,8.146711672486194e-06,0.04499213390845429,0.999976045851697,5.447129754471499e-06,0.044991414221306314,0.999991953418804,1.9680087190293976e-06,0.04499203852004217
0.136339,-4.99451938637342,4.477996094403876,1.2393677955224083,0.955720054670864,0.2871364676002043,0.063528376755333,0.010766928303915152,0.12843890771373268,-0.5274264273917103,0.5627689272725122,4.799043730464583,0.9223421055020309,0.16590435366542428,2.111189584496988,-9.111670893779468,2.4386242521882213,-0.10972180783214679,0.5560771772550378,0.00014130863937296295,3.2750656143267034,3.275069454011364,3.275068151799052,3.2750595076206532,0.998965518741509,0.00017337113016982356,0.060348516820955926,0.9997088751968216,4.852827524096593e-05,0.057033544279487966,0.9997841141846768,3.590443814367983e-05,0.04519099540108564,0.9997946409773719,3.428055501646368e-05,0.04499693609278767,0.9998051672670931,3.265689410360192e-05,0.044995975536246256,0.9998157065377941,3.102971100383115e-05,0.04499692619517555,0.9998262743696987,2.939464785889319e-05,0.04490345789356451,0.999836885717968,2.7746700644605012e-05,0.0449857773982706,0.9998475528154481,2.6084161928614245e-05,0.04500079318939575,0.9998583514375357,2.438578858822662e-05,0.04500369911246655,0.9998694310884324,2.2617078516937408e-05,0.04499429910854897,0.999880646284987,2.081661293401954e-05,0.04499354558380467,0.9998920373352315,1.897516918488358e-05,0.04499433518143072,0.9999036617083191,1.7079477373098283e-05,0.044902152309026236,0.9999155889869269,1.511302361651393e-05,0.04498410953131015,0.9999279247001277,1.305454664697546e-05,0.04499689293653172,0.9999408881547286,1.0853848395936915e-05,0.04499785798860801,0.9999548260866812,8.439431353246125e-06,0.04499214969162323,0.9999703606057845,5.685245912434028e-06,0.044991424816884645,0.9999898550622213,2.0983565827738e-06,0.04499204223936795
0.159063,-4.991068099139181,4.463716028185014,1.2528299925134554,0.9379113948361272,0.3387699242627331,0.07355432042760775,0.012119022820002032,0.17641198026853902,-0.7344731332359637,0.6181823771318764,4.796550495235199,0.9349779819606976,0.16590756465588152,2.333323667793592,-10.274494878301196,1.2732829435950606,-30.185875291576824,-29.36803095328068,5.8997183270630105,3.299742935624711,3.299758191045437,3.299757279870045,3.099151601329177,0.9987913496588018,0.00017416908270714883,0.06045732632623696,0.9996603397286316,4.853546819007025e-05,0.057034342418228016,0.999748204698392,3.590948628479949e-05,0.04518038866656151,0.9997603145648839,3.4326412487885485e-05,0.04499690911361591,0.9997724237055062,3.2743561587027046e-05,0.04499596498749253,0.9997845498631228,3.115667467127101e-05,0.044996939965593896,0.999796713889755,2.9560479943755038e-05,0.044903989265028414,0.9998089375074282,2.7948210539812686e-05,0.04498572266858468,0.9998212338374582,2.6318977989852623e-05,0.04500090367946714,0.999833704436331,2.464700120460715e-05,0.04500391801135141,0.9998465323416883,2.2898746744126434e-05,0.04499432006989712,0.9998595302081061,2.1116076880769948e-05,0.04499357034495814,0.999872748290708,1.9289044523356425e-05,0.04499437382134894,0.9998862587491099,1.7402959209338576e-05,0.04490269932795577,0.9999001502393274,1.5438747599449137e-05,0.04498406769735258,0.9999145496549348,1.3375045192871225e-05,0.04499695337023006,0.9999297317311332,1.1156423595380853e-05,0.044997915174957194,0.9999461156505709,8.71043611026505e-06,0.04499215528080053,0.9999644556965883,5.904909196201661e-06,0.044991425785640186,0.9999876368195891,2.2182426321334914e-06,0.0449920405144731
0.181786,-4.98646378983439,4.444422150057422,1.2672519519805991,0.91901826651905,0.3858766773613182,0.07957711764006022,0.0131178807530073,0.2294326594301307,-0.9679429702795979,0.6471154940269358,4.11062953573114,0.26764109755236964,0.29996829394114305,2.325640741317527,-10.77137286845973,-0.05036921778337428,-118.34901413280065,0.5759748957173605,0.0009038621825653024,2.9301582175648964,3.3244469013474474,3.324446133757992,2.930126718661233,0.9986161500377099,0.00017519962109189863,0.060598943091800896,0.9996117947487339,4.8544979897668576e-05,0.05703646472171726,0.999712273300651,3.5931397740994795e-05,0.04517130291948081,0.9997259279321192,3.438663276465637e-05,0.04499687384475952,0.9997395816854127,3.284202009349702e-05,0.04499594561641832,0.9997532569750752,3.129288804756577e-05,0.04499694922774778,0.9997669809602793,2.9732929475700805e-05,0.04490470289076997,0.9997807841530687,2.8153354359426405e-05,0.04498564408518435,0.9997946795537622,2.6554283696063285e-05,0.045001016151112,0.9998087997346164,2.490470171456973e-05,0.04500413311463091,0.9998233579854052,2.317435628312812e-05,0.044994330375433315,0.9998381230276948,2.1407180411314814e-05,0.044993584196672314,0.9998531556866037,1.9592604104267672e-05,0.04499440552281807,0.9998685443119095,1.771443720025544e-05,0.044903426525638376,0.9998843995466218,1.5750692705674586e-05,0.04498400052500277,0.9999008693430838,1.3680311850994643e-05,0.04499701165528896,0.9999182893491051,1.1442382028214979e-05,0.04499796824793467,0.99993715036201,8.965288560807856e-06,0.04499215026501676,0.9999583448976781,6.1107989101425705e-06,0.044991416301261376,0.9999853066094748,2.3302101142380245e-06,0.04499203292298836
0.204509,-4.980652263129676,4.419673129821561,1.2819732134345554,0.9061377126345063,0.4147900666329902,0.08148540417565661,0.01495783796842471,0.28227875759152415,-1.212703486307157,0.6459709420847537,1.4213562068579384,0.28072911468967443,0.2999888326205597,2.4677579082121563,-11.441646728866509,-0.17931657711595572,-77.66154238936342,0.11282819443925987,3.267652309526777e-05,3.090462233216715,3.349135593875123,3.3491349598483455,3.090460488188152,0.9984396729595457,0.00017647707816423496,0.060775139256113025,0.9995632381032741,4.855664545967644e-05,0.05703975734057411,0.9996763023277481,3.597097290294179e-05,0.04516338534897726,0.9996914655746355,3.446235748378545e-05,0.04499682972116048,0.9997066279078126,3.295377760008582e-05,0.04499591652270484,0.9997218168004428,3.144017463242074e-05,0.044996953868163485,0.9997370668252092,2.991413507004446e-05,0.04490561437093295,0.9997524195565025,2.8364596566207663e-05,0.044985540492191355,0.9997678866619387,2.6792891823441153e-05,0.04500113211058044,0.9997836378041083,2.51619305081668e-05,0.045004345650668,0.9997999107532259,2.3447232179306598e-05,0.04499432982009786,0.9998164295190974,2.169350859741717e-05,0.04499358660058553,0.9998332660703732,1.98896162305253e-05,0.044994430396629696,0.9998505264885573,1.8017823352219293e-05,0.04490434966130916,0.9998683466956748,1.6052850946993237e-05,0.044983907003840626,0.9998868949803921,1.3974362691691036e-05,0.0449970684781558,0.9999065737374937,1.1715611611383382e-05,0.044998017640720395,0.9999279427069766,9.207655033540582e-06,0.04499213439202035,0.9999520388831772,6.306014500944798e-06,0.044991395714782154,0.9999828706668298,2.4359426450688835e-06,0.04499201921872126
