t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,-5.0,4.5,1.2,1.0,-7.216283836742356e-28,2.397501988075539e-28,-8.974807237277628e-28,0.0,0.0,0.0,4.131628874180174e-30,-7.027558279138247e-29,9.01936336425885e-28,0.05954053678278269,-0.23106819143964522,3.397400793430216,192.7894262967286,49.63179543104104,9.68509084807751,3.1269358013884405,2.319454568505372,2.648749094883436,3.1269372389318693,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0233415,-4.9999919136117965,4.499968514750784,1.2009263788217674,0.999631506719189,0.02626013528709065,0.006743188179740671,0.0013191253271169759,0.0013897669108671764,-0.0053934839013678884,0.07930051458703924,4.499999158720006,1.15848177970971,0.22606478739863947,0.3993859726877337,-1.5533996357891522,4.898354769396097,3.2288314729854077,-2.707705843592917,-0.6669048144011346,3.149380590573344,3.1493810251016843,3.1267070588497843,3.1493813880110824,0.9998280264969747,0.0001719735030253365,0.06554359526292333,0.9999514826058562,4.8517394143859264e-05,0.05697265498883385,0.9999638852354396,3.6114764560458564e-05,0.045328096791258654,0.9999658046707757,3.419532922429055e-05,0.04499698209198891,0.9999677241202519,3.2275879748100315e-05,0.044995929131398,0.9999696443423598,3.0355657640267204e-05,0.04499677931634455,0.9999715663076854,2.843369231460659e-05,0.04490257325272658,0.999973490759395,2.650924060492886e-05,0.04498575530224125,0.9999754190237397,2.4580976260445296e-05,0.045000129029862196,0.9999773556449472,2.2644355052902625e-05,0.04500233779211611,0.9999793104814185,2.0689518581395688e-05,0.044994006359299,0.9999812760776959,1.8723922304121758e-05,0.044993237686022244,0.99998325599256,1.67440074399551e-05,0.04499398670924044,0.9999852553886239,1.4744611376130326e-05,0.044901128061150396,0.9999872807599941,1.271924000581953e-05,0.04498397305250212,0.9999893431334295,1.0656866570565176e-05,0.04499646864883007,0.9999914627802367,8.537219763326518e-06,0.04499743079300668,0.9999936751906474,6.3248093525205755e-06,0.044991943033524724,0.9999960506656389,3.949334361065358e-06,0.0449912649791266,0.9999988471643958,1.1528356042582241e-06,0.04499196530282403
0.046683,-4.99986859068948,4.499490032804792,1.2041197051191612,0.9966584405718913,0.07913251796551715,0.01987931840026478,0.00384237373941961,0.010712044463232451,-0.04165219989260773,0.19363558350035237,4.575365008347671,1.0952797968401955,0.21049821219065903,0.7895927898723654,-3.1299971941674882,4.737080885802632,3.228824625795751,-2.7252024154306067,-0.6627409207301068,3.1718251624016376,3.1718256361829402,3.1492927764993546,3.1718254940228756,0.999655987603312,0.00017203889366281216,0.0655412398531286,0.9999029651929342,4.851741292206478e-05,0.05695873313038783,0.9999278549425853,3.603029285420413e-05,0.0452690449500223,0.9999316042352394,3.4200435536229204e-05,0.044996980824085764,0.9999353535378214,3.2370582430514696e-05,0.04499595153776815,0.9999391049844201,3.053935793971188e-05,0.04499682672411276,0.9999428612005901,2.870510709530608e-05,0.04490261903681248,0.9999466241964106,2.6866562984549543e-05,0.04498579913153679,0.9999503973605753,2.50216631643301e-05,0.045000315648218714,0.9999541932043142,2.3162440632887954e-05,0.04500271472818296,0.9999580396723907,2.1270809027871966e-05,0.04499410694026502,0.9999619140939893,1.9361983706581134e-05,0.04499334069475063,0.9999658253138946,1.7430678665503025e-05,0.04499409819691423,0.9999697860426445,1.5469345979298166e-05,0.044901220081291285,0.9999738118451832,1.3468914810959871e-05,0.04498405529127019,0.9999779290768925,1.1414056537000546e-05,0.04499659708569441,0.9999821869734103,9.275806826297008e-06,0.04499756144900134,0.9999866702911275,7.00489951994535e-06,0.04499202198219487,0.9999915405836287,4.510082010153395e-06,0.04499132680897569,0.999997393467606,1.4536967898572857e-06,0.04499199616139631
0.0700246,-4.999420533127787,4.497736043320156,1.2099460980019383,0.9906210506543415,0.1326407129772506,0.03223582077653787,0.006097530552575014,0.029142344082923363,-0.11471110675854243,0.3042062740738643,4.650730698151489,1.0316694173067016,0.19502882860971205,1.1610678113269903,-4.714496870823208,4.38898942999692,3.228812177354157,-2.745337728161989,-0.6588418031532134,3.1942696051757036,3.1942700186907786,3.171869397326878,3.1942696051190125,0.9994837921635412,0.00017219543977067405,0.06555941141957322,0.9998544471012909,4.851809164314154e-05,0.056952078744391225,0.9998918795268711,3.597541571422843e-05,0.045238638616606035,0.9998973950174945,3.420921774486741e-05,0.04499697634129845,0.9999029104731859,3.244306463545703e-05,0.04499596583134168,0.9999084299948707,3.0674989549347545e-05,0.044996859956352074,0.9999139584610941,2.8902739496025364e-05,0.044902701789842236,0.9999194997221008,2.7124474309773345e-05,0.0449858194719715,0.9999250595839109,2.5337776664460346e-05,0.04500045373435915,0.9999306615486768,2.353165563736675e-05,0.04500299968834694,0.9999363582021141,2.1681470276528434e-05,0.04499417518228192,0.9999421046535488,1.9809440440465454e-05,0.044993411616169675,0.9999479162393452,1.7909074549420095e-05,0.044994175729924486,0.9999538148579583,1.597118468619287e-05,0.04490133384866339,0.999959826935638,1.398490954523975e-05,0.044984101014546495,0.9999659967066667,1.1932370225718374e-05,0.04499668799369435,0.9999724084748982,9.778498512196653e-06,0.044997653975352,0.9999792050621112,7.465229016297825e-06,0.04499207260571115,0.9999866516115962,4.888972032488853e-06,0.04499136677774129,0.9999957325645703,1.6609030356437414e-06,0.044992016107154746
0.0933661,-4.998439986197711,4.493844495814187,1.2182670212931244,0.9814255964570084,0.18660725516393784,0.04378387519117374,0.00802838702419313,0.056243437096949275,-0.22475465198824537,0.4066519793285631,4.7260960973897,0.9675890488734413,0.1796504563780533,1.5077712663957492,-6.285613802764179,3.849056680375298,3.2283582181720814,-2.767692904171439,-0.6551262266178056,3.2167139851853634,3.21671433982264,3.194439876301473,3.2167138133692017,0.9993113147218007,0.00017247744174061664,0.06559923827422125,0.9998059271564591,4.851994483189543e-05,0.05694825265218508,0.9998559423792167,3.5937147654398025e-05,0.04521796235577247,0.9998631704188963,3.4224598598213894e-05,0.044996967539963593,0.9998703983115602,3.251216162562544e-05,0.044995974609222354,0.999877632742668,3.0797252202563585e-05,0.04499688678941377,0.9998848814841693,2.9076976924757213e-05,0.04490285813436222,0.9998921510192158,2.734870288505565e-05,0.04498582196548806,0.9998994496135617,2.5609970349262145e-05,0.04500057539491035,0.9999068149103263,2.384663835057161e-05,0.04500325223419472,0.9999143292445332,2.2028957580984572e-05,0.04499422797771079,0.9999219190748339,2.018557871493601e-05,0.044993467595992,0.9999296072622547,1.830897709061017e-05,0.044994238762127735,0.9999374263289027,1.638852905557999e-05,0.044901514910170165,0.9999454152950075,1.4411640630561936e-05,0.044984123565396404,0.999953637993372,1.2358713294791831e-05,0.04499676457780391,0.999962219132276,1.0189342622236648e-05,0.044997731304401364,0.9999713659607364,7.839101374787558e-06,0.04499210892529278,0.9999814562455757,5.195366020532749e-06,0.044991395259419906,0.9999939036609894,1.8289035809157888e-06,0.044992029838961396
0.116708,-4.996731040505358,4.486954768346108,1.2288406798362674,0.9689858200790534,0.2408417945703089,0.054496721040424766,0.009579595337296522,0.09143711737628211,-0.37147046191520106,0.49649483096346303,4.801450900528443,0.9029868765468455,0.1643588113679267,1.8313399489755648,-7.82985989285256,3.138852282845515,-0.1049103803578092,0.5519671475912078,-5.284419817518817e-06,3.23915768900194,3.2391587105579216,3.2391576052425477,3.2391567633568403,0.9991383966140175,0.00017291810778309816,0.06566476085418264,0.9997574037478765,4.852340858256359e-05,0.056946276182217606,0.9998200289231716,3.59134560450565e-05,0.04520224450203516,0.999828921502459,3.424891643733437e-05,0.04499695319291487,0.9998378137495619,3.2584561998388803e-05,0.04499597748611418,0.9998467155614448,3.0917181223242856e-05,0.04499690889811174,0.9998556383360095,2.9243148159671104e-05,0.044903121514752266,0.9998645922979836,2.755872123224358e-05,0.04498580586469666,0.9998735878968292,2.5861716732514168e-05,0.04500069009929472,0.9998826804323415,2.4134477984741258e-05,0.04500348875730348,0.9998919852471985,2.2343997334677903e-05,0.044994269097328024,0.9999013945871885,2.0524487645470898e-05,0.04499351233712984,0.9999109397744922,1.866748776232033e-05,0.04499429220151762,0.9999206653459145,1.6760982988241063e-05,0.04490179915213024,0.9999306248547876,1.479044021992186e-05,0.04498412437482707,0.9999409028241543,1.2735169217717012e-05,0.04499683350962826,0.9999516694831581,1.0549649117924236e-05,0.04499779983090646,0.9999632009151928,8.165045543801514e-06,0.04499213405857992,0.9999759949057047,5.461339870973962e-06,0.04499141421072033,0.999991929066514,1.9745944753691315e-06,0.04499203823236818
0.140049,-4.994111500553503,4.47621670691568,1.2413263051542351,0.9533276362536489,0.29470824380089755,0.06476132488912086,0.010926577131868138,0.1341833840570924,-0.554231330120191,0.5697604291006305,4.799002132292448,0.9158706313642831,0.16435868802151093,2.139184877656885,-9.283454047837777,2.2226709769376516,-0.10912691312583513,0.5498450028875821,0.0003907019951170752,3.2615996315612517,3.2616030352990455,3.261602495570371,3.2615858079647433,0.9989648469756989,0.00017354963831863428,0.06576039613219277,0.9997088749229527,4.8528824923837817e-05,0.05694582943076964,0.9997841240734524,3.590484971910879e-05,0.04518956787699861,0.9997946370410867,3.428446137222221e-05,0.04499693210259664,0.9998051494402753,3.266430928658032e-05,0.04499597341987299,0.9998156749744058,3.1040587039055056e-05,0.04499692662896743,0.9998262295102239,2.940882578568699e-05,0.04490352445269709,0.9998368285004562,2.776379752730529e-05,0.04498576909185371,0.9998474839804815,2.6103916347644497e-05,0.045000802368245996,0.9998582729701202,2.440746222138995e-05,0.04500371605191189,0.9998693448147628,2.2640432435703176e-05,0.0449942994317586,0.9998805531693074,2.0841417881111966e-05,0.04499354654722046,0.9998919386580214,1.9001116470840916e-05,0.044994337725625236,0.9999035592418339,1.7106104080489007e-05,0.04490222008307179,0.9999154852900457,1.5139564741910187e-05,0.04498410227842023,0.9999278225457923,1.308027836196155e-05,0.044996897731045385,0.9999407919236749,1.0877559483182064e-05,0.04499786218136389,0.9999547408799985,8.46003519422311e-06,0.044992148651490295,0.9999702938046432,5.701101061392053e-06,0.04499142363000722,0.9999898234544502,2.105612063779698e-06,0.04499204123331323
0.163391,-4.990409760337072,4.4608120208186675,1.2552801759926353,0.9345662721637071,0.3475863232213155,0.07495785827109663,0.012284142077286071,0.18411522074914385,-0.7709213022195307,0.6216409586424134,4.796454943752636,0.928704852088672,0.1643678076017862,2.3592709403784484,-10.447177817082496,1.0056245050123402,-29.731920123713095,-28.91570958827703,5.810437131577517,3.2840205447262845,3.2840473314255973,3.284046914661096,3.0864652654881475,0.9987904440587307,0.00017440291696810669,0.06589042720666682,0.9996603384473687,4.8536475583949105e-05,0.056946799688438764,0.9997482113731677,3.5912700284769034e-05,0.04517897127822311,0.9997603035888645,3.43334522224007e-05,0.044996903128448666,0.9997723950134375,3.275442683785978e-05,0.04499596113836315,0.9997845036627164,3.117131168947593e-05,0.044996939852275604,0.9997966508220295,2.9578688194408602e-05,0.04490409749221975,0.999808859033999,2.7969466457312852e-05,0.0449857091829512,0.9998211410361856,2.6342944295945118e-05,0.04500091497602161,0.9998336002970476,2.467267307267405e-05,0.04500393752041228,0.9998464187022827,2.292611248000269e-05,0.04499431888667059,0.9998594082856692,2.114488363815106e-05,0.044993569872864646,0.9998726196911257,1.931896689574173e-05,0.04499437586576451,0.9998861257613965,1.743348043756567e-05,0.04490280871719546,0.9999000163579477,1.5468932097994744e-05,0.0449840552694099,0.9999144184750598,1.3404070732500338e-05,0.04499695883607636,0.9999296090653588,1.1182858316168273e-05,0.044997919619050974,0.9999460076420698,8.733237928748248e-06,0.044992152488933804,0.9999643714618465,5.922342796665728e-06,0.04499142281526871,0.9999875973297728,2.226124677369802e-06,0.04499203845821214
0.186732,-4.985476480648854,4.440022683482239,1.2701149252121107,0.9146903909937752,0.39573481487435613,0.0809943774823072,0.01324138200888253,0.2391842017136654,-1.0147743614402753,0.6451137678802951,4.102466595356842,0.253768102078505,0.2999922695141872,2.257285079901125,-10.446963028248048,-0.6433953921308299,-189.24819304545892,0.39722734346024563,7.080070066470316e-05,2.6758476436237637,3.3064916084866107,3.306491275384642,2.6758449032979725,0.9986149395011876,0.0001755045575430954,0.06605837947154841,0.9996117918785766,4.854656879216422e-05,0.05694914268244669,0.999712272836705,3.593853646269158e-05,0.045169902498942094,0.9997259057316019,3.439785726248489e-05,0.04499686529835765,0.9997395377256666,3.28572877708244e-05,0.04499593936369604,0.999753191531284,3.131213143244115e-05,0.04499694827697185,0.9997668949235765,2.9755898452966876e-05,0.04490486614323538,0.9997806796167261,2.8179417272822468e-05,0.044985623864533766,0.9997945580238702,2.6583012315389346e-05,0.04500102989325744,0.9998086654554361,2.4934841611360608e-05,0.04500415512214625,0.99982321257997,2.320612231270179e-05,0.044994327064427915,0.9998379679856759,2.1440299993367385e-05,0.044993581584070526,0.9998529929514866,1.9626739639211157e-05,0.04499440670300855,0.9998683767413804,1.774902001595251e-05,0.04490359081612235,0.9998842317284462,1.5784629501427547e-05,0.0449839813279295,0.999900705801441,1.3712673618777967e-05,0.04499701780559515,0.999918137544592,1.1471520766703658e-05,0.04499797280790046,0.9999370173935427,8.990248527102618e-06,0.04499214509736547,0.9999582416922526,6.129769593948751e-06,0.044991410848303,0.999985258644015,2.338685757897374e-06,0.04499202944261987
0.210074,-4.979281314456313,4.413508974393569,1.2850190588497328,0.9054211352955818,0.4160945857820296,0.08262045144058823,0.015864300987574714,0.2918726771952621,-1.2586224071621321,0.6300959384332753,-0.314874779906628,0.26303999393340605,0.29999392211049164,2.5998878600905564,-11.719237684411771,0.26269113761078494,-0.17984319651199307,-0.0666435538251952,5.697360134849486e-07,3.3285199913216297,3.328935877923847,3.3289356199653772,3.3285197139921356,0.998438076338032,0.00017686316315564576,0.0662648377740491,0.9995632329949161,4.855888366043669e-05,0.05695268074482968,0.9996762899908161,3.5982845888868806e-05,0.045162004774825855,0.9996914271984599,3.4478533142046296e-05,0.04499681825293614,0.9997065635268501,3.297419881653804e-05,0.044995907340244,0.9997217267998915,3.1464731392368865e-05,0.04499695188625839,0.9997369523870265,2.9942536550026928e-05,0.04490584172931931,0.9997522835735878,2.8396043138398138e-05,0.04498551257260127,0.9997677311449278,2.6826878942466363e-05,0.04500114863648103,0.999783468598186,2.5196857250181794e-05,0.04500437007389063,0.9997997288856469,2.348369432314947e-05,0.044994323961342966,0.9998162367758991,2.173120977675719e-05,0.04499358129076305,0.9998330647685971,1.9928182889305767e-05,0.04499443044811949,0.9998503200942852,1.8056647095171078e-05,0.04490457787189474,0.9998681410856186,1.6090642827644105e-05,0.04498388002770794,0.9998866956898704,1.4010111570445714e-05,0.04499707533483844,0.9999063901168945,1.1747427697561333e-05,0.04499802221183541,0.9999277826540457,9.234739496962655e-06,0.04499212642231851,0.9999519151990572,6.3264931953235195e-06,0.044991387226751924,0.9999828136587293,2.4449852856094594e-06,0.044992014037397006
0.233415,-4.971764796604333,4.3809344367624234,1.2997946416897936,0.9066359817243095,0.4129785267150966,0.0838747754970508,0.02061326634655776,0.35255802393812125,-1.5321672832152626,0.6362275501142619,-0.3190725943228599,0.26148443177469144,0.2999939354089989,2.716015103309614,-11.710897102321768,0.4060176095370491,-0.1507317219688735,-0.067372820492107,-1.1045418341783722e-05,3.351060001786891,3.351380142696034,3.351379956892539,3.35106019152762,0.9982595775952471,0.00017849874278493404,0.06651192940935535,0.9995146597255924,4.857326932370621e-05,0.05695729392236346,0.9996402436137188,3.604637709736291e-05,0.04515503927441725,0.9996568506839265,3.457651453342174e-05,0.04499676131213959,0.9996734570761198,3.310645073038734e-05,0.044995864293215636,0.9996900962151153,3.1630584776244166e-05,0.044996950546265804,0.9997068120967207,3.0140290305694193e-05,0.0449070331817189,0.9997236623079895,2.8621265598261743e-05,0.044985373487509764,0.9997406544332459,2.7076711681900975e-05,0.04500127253009018,0.9997580075499441,2.546104824182267e-05,0.04500458318234147,0.9997759675371405,2.3761348506365444e-05,0.044994309150302995,0.9997942165035976,2.2020272301525318e-05,0.0449935684408098,0.9998128387443416,2.022602425552628e-05,0.044994447099696515,0.9998319609392823,1.8359155002945173e-05,0.04490577890656094,0.999851751280236,1.6389805382630665e-05,0.044983749645155356,0.9998723964777355,1.4299212134966023e-05,0.044997131921998335,0.9998943768039612,1.2013312933364868e-05,0.04499806808769581,0.9999183133497332,9.46930431253455e-06,0.044992096008212946,0.9999454004931653,6.514705891902824e-06,0.04499135132452229,0.9999802674509215,2.546207807837266e-06,0.044991991995307026
